date,low,high,open,close,volume
2016-06-03 00:00:00,535.96,578,538.06,571.25,10203.593873202
2016-06-04 00:00:00,564.29,594.64,571.09,576.31,6931.9573781708
2016-06-05 00:00:00,570.22,585,576.31,575.17,4984.2494482005
2016-06-06 00:00:00,575,588.15,575.17,586.77,6790.9958923303
2016-06-07 00:00:00,475,590.95,586.75,579.71,10079.796841735
2016-06-08 00:00:00,572.96,583.99,579.72,583.21,5661.7491727215
2016-06-09 00:00:00,574,583.48,583.19,577.46,4979.6304403507
2016-06-10 00:00:00,573.5,581,577.47,580.31,5659.4266165912
2016-06-11 00:00:00,580.31,610,580.31,609.5,5542.1952586414
2016-06-12 00:00:00,605,687.71,609.5,677.86,17998.504575362
2016-06-13 00:00:00,663.55,720,677.45,706.01,15497.153070563
2016-06-14 00:00:00,650.02,706.45,706.02,684.95,12443.095563802
2016-06-15 00:00:00,673,699.3,684.99,698.78,7913.0354712508
2016-06-16 00:00:00,698.76,777.68,698.76,769.76,16806.858737631
2016-06-17 00:00:00,709.01,778.5,769.71,752.26,14007.082450982
2016-06-18 00:00:00,734.8,785.15,752,758.99,9593.4995222618
2016-06-19 00:00:00,744.77,771.92,759,768.76,5442.6387854906
2016-06-20 00:00:00,701.01,768.94,768.94,703.12,9837.1938471521
2016-06-21 00:00:00,628.6,718.26,706.47,667.66,26108.678872719
2016-06-22 00:00:00,568.11,679.99,667.88,604.5,15589.035761442
2016-06-23 00:00:00,544.13,637.89,606.13,631.1,20473.563588867
2016-06-24 00:00:00,631.01,700,631.1,669.98,19078.845306722
2016-06-25 00:00:00,650,699,669.98,673.71,7691.5532365512
2016-06-26 00:00:00,625.01,675.19,673.71,638.56,5678.3860154608
2016-06-27 00:00:00,630,659.98,638.56,657.87,6624.3398024507
2016-06-28 00:00:00,638,663.53,657.86,648.43,5696.746777151
2016-06-29 00:00:00,630.02,648.43,648.43,639.42,6485.1268580707
2016-06-30 00:00:00,635.14,675,639.41,673.49,7764.2464679909
2016-07-01 00:00:00,667,688.99,673.5,678.19,6839.6885422706
2016-07-02 00:00:00,676.92,705.21,678.09,704.95,4976.8404691606
2016-07-03 00:00:00,651,705.25,705.25,663.55,6495.7084625905
2016-07-04 00:00:00,653.16,683.69,664.09,681.98,4327.4107689002
2016-07-05 00:00:00,662.51,682.37,681.98,669.87,5043.8118265204
2016-07-06 00:00:00,665,680.79,669.75,678.79,5668.2380782804
2016-07-07 00:00:00,611.94,683.44,678.79,641.97,12280.745613431
2016-07-08 00:00:00,638.04,667.33,641.97,667.33,11053.79974175
2016-07-09 00:00:00,608,667.3,667.07,657.61,9607.6959149006
2016-07-10 00:00:00,641,657.61,657.6,652.44,3705.8941475301
2016-07-11 00:00:00,648.11,664.27,652.43,650.97,4815.4370460001
2016-07-12 00:00:00,648.6,675.5,651.25,666.56,10666.069713841
2016-07-13 00:00:00,654.86,671.45,666.25,655.34,21881.75122995
2016-07-14 00:00:00,640,663.99,655.3,661.65,4649.6436953505
2016-07-15 00:00:00,660.68,669.98,661.4,667.48,4725.7436124905
2016-07-16 00:00:00,662.01,669.99,667.48,666.32,2907.5148248001
2016-07-17 00:00:00,665.95,680.99,666.3,680,3944.4240240503
2016-07-18 00:00:00,670,684.94,680,675.5,4547.72178477
2016-07-19 00:00:00,666.17,676.87,675.51,673.98,3799.7711782801
2016-07-20 00:00:00,664.6,674.99,673.98,666.92,3603.8627995602
2016-07-21 00:00:00,661.19,668.4,667.15,667.28,3967.8718084101
2016-07-22 00:00:00,647.59,669.94,667.27,654.67,7371.9646656504
2016-07-23 00:00:00,653.92,662.35,654.7,657.5,4379.5114055201
2016-07-24 00:00:00,655.01,666.37,657.68,661,3423.0812296801
2016-07-25 00:00:00,653.77,664.13,660.92,657.79,4101.5377383902
2016-07-26 00:00:00,645,658.99,657.99,654.06,6470.7402215103
2016-07-27 00:00:00,646.56,658.99,654.06,657.35,5175.1413743602
2016-07-28 00:00:00,654.1,659.97,657,657.4,3832.9884094802
2016-07-29 00:00:00,651,659,657.4,657,4246.2126948102
2016-07-30 00:00:00,652.95,658.98,657.18,655.87,2979.9574150802
2016-07-31 00:00:00,621.37,657,655.95,626.97,6299.6413830905
2016-08-01 00:00:00,599,629.34,626.97,605.2,7981.7178736205
2016-08-02 00:00:00,483,613.38,604.87,537.47,14828.846159841
2016-08-03 00:00:00,519.3,576,538.8,573.36,20292.859716999
2016-08-04 00:00:00,562.11,599.95,573.35,587.5,9514.3283751511
2016-08-05 00:00:00,570.39,592.87,587.5,583,5478.3887955404
2016-08-06 00:00:00,574.5,591.72,583,591.71,3907.4935982402
2016-08-07 00:00:00,587.2,598.65,591.7,595.14,3288.6473717601
2016-08-08 00:00:00,590,595.99,595.14,591.48,3851.8866242402
2016-08-09 00:00:00,585.38,594.04,591.58,586.45,4817.6262473803
2016-08-10 00:00:00,583.29,601.09,586.75,594.94,9439.6803561526
2016-08-11 00:00:00,585.6,599.99,594.94,587.91,5060.8559244002
2016-08-12 00:00:00,583.62,590.09,587.9,587.74,3870.8906875502
2016-08-13 00:00:00,586,589.5,587.68,586.45,2839.68534681
2016-08-14 00:00:00,565.19,586.49,586.45,574.99,4154.4769823001
2016-08-15 00:00:00,561.56,574.97,574.97,567.79,4403.1617351601
2016-08-16 00:00:00,566.09,581.99,567.85,579.02,4692.46182455
2016-08-17 00:00:00,569.67,581.99,579.02,574.45,4509.7743737001
